HEADER,Incredible_C_VZW_20100110
Default,9,10
Default Car-kit,1002,1102
Jabra BT530,1007,1107
Jabra BT3030,1009,1109
3xxPlantronics,1014,1114
Motorola S9,1019,1119
Motorola H500,1025,1125
Motorola H700,1026,1126
Motorola HS850,1027,1127
2XX Plantronics,1028,1128
9xxPlantronics,1029,1129
PROPlantronics,1030,1130
HBH-608,1031,1131
Samsung WEP500,1032,1132
Jabra BT2050,1034,1134
Bluetooth headset,1035,1135
Jawbone,1036,1136
Jabra BT8010,1037,1137
Jabra BT8040,1038,1138
Motorola HT820,1039,1139
590Plantronics,1040,1140
Samsung SBH500,1041,1141
Motorola T305,1042,1142
Motorola T505,1043,1143
BMW,1044,1144
Audi UHV 6384,1045,1145
HTC BH M200,1046,1146
HandsFreeLink TM,1047,1147
END